cau_hoi,intent,entities_required,response_type,tra_loi,is_template_row,note
Minh can dieu kien lien quan den chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #13 cho intent chinh_sach_mien_giam
Ban giai thich giup chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #14 cho intent chinh_sach_mien_giam
Minh can thong tin chinh thuc ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #15 cho intent chinh_sach_mien_giam
Cho minh hoi them ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #16 cho intent chinh_sach_mien_giam
Minh muon kiem tra lai chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #17 cho intent chinh_sach_mien_giam
Tu van giup minh chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #18 cho intent chinh_sach_mien_giam
Minh can cap nhat chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #19 cho intent chinh_sach_mien_giam
Ban cho minh biet chinh sach mien giam hoc phi voi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #20 cho intent chinh_sach_mien_giam
chinh sach mien giam hoc phi co nhung diem can luu y nao?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #21 cho intent chinh_sach_mien_giam
Huong dan thuc hien chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #22 cho intent chinh_sach_mien_giam
Cho minh xem quy dinh ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #23 cho intent chinh_sach_mien_giam
Minh muon hoi nhanh ve chinh sach mien giam hoc phi.,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #24 cho intent chinh_sach_mien_giam
Thong tin tra cuu chinh sach mien giam hoc phi gom nhung gi?,chinh_sach_mien_giam,doi_tuong,faq,Bạn vui lòng cho biết bạn thuộc diện nào và học kỳ/năm học áp dụng để mình hỗ trợ.,1,Bo sung cau hoi mau #25 cho intent chinh_sach_mien_giam
Điều kiện cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,0,
Khi nào bị cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.,0,
Tiêu chí bị cảnh báo học vụ,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.,0,
Cảnh báo học vụ dựa vào gì,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu.,0,
Điểm bao nhiêu thì bị cảnh báo,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết học kỳ/năm học và chương trình đào tạo để mình tra cứu.,0,
Cho minh hoi ve dieu kien canh bao hoc vu duoc khong?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #1 cho intent dieu_kien_canh_bao_hoc_vu
dieu kien canh bao hoc vu hien nay nhu the nao?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #2 cho intent dieu_kien_canh_bao_hoc_vu
Minh can tra cuu dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #3 cho intent dieu_kien_canh_bao_hoc_vu
dieu kien canh bao hoc vu ap dung ra sao?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #4 cho intent dieu_kien_canh_bao_hoc_vu
Thong tin moi nhat ve dieu kien canh bao hoc vu la gi?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #5 cho intent dieu_kien_canh_bao_hoc_vu
Minh muon biet chi tiet dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #6 cho intent dieu_kien_canh_bao_hoc_vu
dieu kien canh bao hoc vu co thay doi gi khong?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #7 cho intent dieu_kien_canh_bao_hoc_vu
Ban ho tro minh phan dieu kien canh bao hoc vu nhe.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #8 cho intent dieu_kien_canh_bao_hoc_vu
Cho minh xin huong dan ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #9 cho intent dieu_kien_canh_bao_hoc_vu
Minh dang thac mac ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #10 cho intent dieu_kien_canh_bao_hoc_vu
Tra cuu giup minh dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #11 cho intent dieu_kien_canh_bao_hoc_vu
dieu kien canh bao hoc vu danh cho sinh vien nhu the nao?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #12 cho intent dieu_kien_canh_bao_hoc_vu
Minh can dieu kien lien quan den dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #13 cho intent dieu_kien_canh_bao_hoc_vu
Ban giai thich giup dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #14 cho intent dieu_kien_canh_bao_hoc_vu
Minh can thong tin chinh thuc ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #15 cho intent dieu_kien_canh_bao_hoc_vu
Cho minh hoi them ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #16 cho intent dieu_kien_canh_bao_hoc_vu
Minh muon kiem tra lai dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #17 cho intent dieu_kien_canh_bao_hoc_vu
Tu van giup minh dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #18 cho intent dieu_kien_canh_bao_hoc_vu
Minh can cap nhat dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #19 cho intent dieu_kien_canh_bao_hoc_vu
Ban cho minh biet dieu kien canh bao hoc vu voi.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #20 cho intent dieu_kien_canh_bao_hoc_vu
dieu kien canh bao hoc vu co nhung diem can luu y nao?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #21 cho intent dieu_kien_canh_bao_hoc_vu
Huong dan thuc hien dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #22 cho intent dieu_kien_canh_bao_hoc_vu
Cho minh xem quy dinh ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #23 cho intent dieu_kien_canh_bao_hoc_vu
Minh muon hoi nhanh ve dieu kien canh bao hoc vu.,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #24 cho intent dieu_kien_canh_bao_hoc_vu
Thong tin tra cuu dieu kien canh bao hoc vu gom nhung gi?,dieu_kien_canh_bao_hoc_vu,hoc_ky|nam_hoc,faq,Bạn vui lòng cho biết chương trình đào tạo và học kỳ/năm học để mình tra cứu điều kiện cảnh báo học vụ.,1,Bo sung cau hoi mau #25 cho intent dieu_kien_canh_bao_hoc_vu
Điều kiện xét tốt nghiệp,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,0,
Muốn tốt nghiệp cần gì,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,0,
Tiêu chí xét tốt nghiệp,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,0,
Điều kiện ra trường,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,0,
Xét tốt nghiệp dựa trên gì,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,0,
Cho minh hoi ve dieu kien xet tot nghiep duoc khong?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #1 cho intent dieu_kien_xet_tot_nghiep
dieu kien xet tot nghiep hien nay nhu the nao?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #2 cho intent dieu_kien_xet_tot_nghiep
Minh can tra cuu dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #3 cho intent dieu_kien_xet_tot_nghiep
dieu kien xet tot nghiep ap dung ra sao?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #4 cho intent dieu_kien_xet_tot_nghiep
Thong tin moi nhat ve dieu kien xet tot nghiep la gi?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #5 cho intent dieu_kien_xet_tot_nghiep
Minh muon biet chi tiet dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #6 cho intent dieu_kien_xet_tot_nghiep
dieu kien xet tot nghiep co thay doi gi khong?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #7 cho intent dieu_kien_xet_tot_nghiep
Ban ho tro minh phan dieu kien xet tot nghiep nhe.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #8 cho intent dieu_kien_xet_tot_nghiep
Cho minh xin huong dan ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #9 cho intent dieu_kien_xet_tot_nghiep
Minh dang thac mac ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #10 cho intent dieu_kien_xet_tot_nghiep
Tra cuu giup minh dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #11 cho intent dieu_kien_xet_tot_nghiep
dieu kien xet tot nghiep danh cho sinh vien nhu the nao?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #12 cho intent dieu_kien_xet_tot_nghiep
Minh can dieu kien lien quan den dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #13 cho intent dieu_kien_xet_tot_nghiep
Ban giai thich giup dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #14 cho intent dieu_kien_xet_tot_nghiep
Minh can thong tin chinh thuc ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #15 cho intent dieu_kien_xet_tot_nghiep
Cho minh hoi them ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #16 cho intent dieu_kien_xet_tot_nghiep
Minh muon kiem tra lai dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #17 cho intent dieu_kien_xet_tot_nghiep
Tu van giup minh dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #18 cho intent dieu_kien_xet_tot_nghiep
Minh can cap nhat dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #19 cho intent dieu_kien_xet_tot_nghiep
Ban cho minh biet dieu kien xet tot nghiep voi.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #20 cho intent dieu_kien_xet_tot_nghiep
dieu kien xet tot nghiep co nhung diem can luu y nao?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #21 cho intent dieu_kien_xet_tot_nghiep
Huong dan thuc hien dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #22 cho intent dieu_kien_xet_tot_nghiep
Cho minh xem quy dinh ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #23 cho intent dieu_kien_xet_tot_nghiep
Minh muon hoi nhanh ve dieu kien xet tot nghiep.,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #24 cho intent dieu_kien_xet_tot_nghiep
Thong tin tra cuu dieu kien xet tot nghiep gom nhung gi?,dieu_kien_xet_tot_nghiep,"nganh|he_dao_tao,khoa_hoc",faq,Bạn vui lòng cho biết ngành và khóa học để mình tra cứu điều kiện xét tốt nghiệp.,1,Bo sung cau hoi mau #25 cho intent dieu_kien_xet_tot_nghiep
Học phí ngành CNTT bao nhiêu,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,0,
Học phí theo ngành,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,0,
Học phí ngành của mình,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,0,
Học phí chương trình chất lượng cao,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành và học kỳ/năm học để mình tra cứu học phí theo ngành.,0,
Học phí hệ đại trà theo ngành,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành và học kỳ/năm học để mình tra cứu học phí theo ngành.,0,
Cho minh hoi ve hoc phi theo nganh duoc khong?,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,1,Bo sung cau hoi mau #1 cho intent hoc_phi_theo_nganh
hoc phi theo nganh hien nay nhu the nao?,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,1,Bo sung cau hoi mau #2 cho intent hoc_phi_theo_nganh
Minh can tra cuu hoc phi theo nganh.,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,1,Bo sung cau hoi mau #3 cho intent hoc_phi_theo_nganh
hoc phi theo nganh ap dung ra sao?,hoc_phi_theo_nganh,"nganh,khoa_hoc|nam_hoc",hybrid,Bạn vui lòng cho biết ngành/chương trình và học kỳ/năm học để mình tra cứu học phí theo ngành.,1,Bo sung cau hoi mau #4 cho intent hoc_phi_theo_nganh
